profile,seed,end,cycles,score,alive,deaths,drown,storm,built,lost,produced,relics,cards,min_satiety,min_warmth,min_mood,low_satiety_pct,low_warmth_pct,low_mood_pct,zero_satiety,zero_warmth,zero_mood,sick_pct,wet_pct,idle_pct,deepest_mark,storm_min_mark,storm_below,storm_wet_band,storm_damaged,storm_buildings,cargo,survivor_points,creatures,damage,stolen,flooded_storages,rations,catch,scrap,kelp,driftwood,got_scrap,got_catch,got_kelp,got_salt,got_water,wreck5,wreck6
builder,119785,ship,12,63,8,0,0,0,2,0,19,0,fast_haul|deep_dive|full_moon|careful|careful|muffled_bell|careful|fast_haul|travel_light|deep_dive|careful|muffled_bell,26,62,20,0.25,0.00,2.61,0,0,0,0.00,2.12,65.59,-2,1.40,0,8,1,6,23,40,6,0,0,1,0,0,0,30,34,12,52,32,56,0,0,0
builder,127704,ship,12,99,10,0,0,0,2,0,19,0,fast_haul|travel_light|deep_dive|muffled_bell|fast_haul|the_dash|the_dash|fast_haul|fast_haul|muffled_bell|muffled_bell|travel_light,1,87,55,7.66,0.00,0.00,0,0,0,0.00,0.71,65.40,-2,1.68,0,6,0,6,49,50,6,0,0,0,0,0,0,26,16,12,52,32,56,0,0,0
builder,135623,ship,12,62,7,0,0,0,3,0,25,0,travel_light|long_breath|travel_light|careful|full_moon|fast_haul|travel_light|careful|muffled_bell|muffled_bell|careful|sea_loan,33,85,0,0.00,0.00,5.44,0,0,436,0.00,0.88,68.91,-2,1.40,0,7,2,7,27,35,6,0,0,1,0,0,0,30,22,12,52,32,56,0,0,0
builder,143542,ship,12,30,6,1,0,1,2,0,19,0,sea_loan|careful|travel_light|fast_haul|careful|full_moon|fast_haul|full_moon|muffled_bell|careful|fast_haul|fast_haul,41,77,0,0.00,0.00,18.92,0,0,2200,0.00,0.78,67.46,-2,1.00,0,6,1,6,0,30,6,0,0,1,0,1,0,30,26,12,52,32,56,0,0,0
builder,151461,ship,12,35,7,0,0,0,3,0,25,0,full_moon|fast_haul|the_dash|travel_light|the_dash|the_dash|full_moon|careful|the_dash|muffled_bell|the_dash|long_breath,43,64,17,0.00,0.00,0.30,0,0,0,0.00,1.25,61.44,-2,2.00,0,7,2,7,0,35,6,0,0,1,0,3,0,30,21,12,52,32,56,0,0,0
gatherer,1000,ship,12,35,7,0,0,0,2,0,14,0,sea_loan|deep_dive|long_breath|deep_dive|deep_dive|full_moon|deep_dive|full_moon|long_breath|long_breath|deep_dive|deep_dive,41,0,0,0.00,28.36,3.44,0,814,1,3.57,1.24,51.98,-4,1.78,0,3,2,6,0,35,6,0,0,1,0,0,40,20,0,52,95,32,56,34,0,0
gatherer,8919,ship,12,40,8,0,0,0,3,0,14,0,deep_dive|careful|fast_haul|deep_dive|careful|deep_dive|travel_light|travel_light|careful|full_moon|careful|deep_dive,0,0,22,19.29,20.41,0.01,974,756,0,3.09,0.61,60.01,-5,2.00,0,2,3,7,0,40,6,0,0,1,0,0,40,11,0,47,77,32,54,37,4,0
gatherer,16838,ship,12,60,8,0,0,0,2,0,14,0,long_breath|travel_light|long_breath|deep_dive|muffled_bell|muffled_bell|deep_dive|deep_dive|deep_dive|travel_light|long_breath|deep_dive,28,0,10,0.13,25.09,2.53,0,1591,0,6.32,2.38,64.37,-4,2.00,0,8,2,6,20,40,6,0,0,0,0,0,48,16,0,50,88,32,47,35,0,0
gatherer,24757,ship,12,40,8,0,0,0,3,0,14,0,the_dash|deep_dive|careful|deep_dive|careful|deep_dive|long_breath|deep_dive|careful|sea_loan|travel_light|muffled_bell,0,0,30,22.23,32.16,0.00,1853,2963,0,12.14,1.23,60.70,-5,2.00,0,4,3,7,0,40,6,0,0,1,0,0,50,12,0,61,72,34,48,32,4,0
gatherer,32676,ship,12,35,7,1,0,1,2,0,14,0,deep_dive|the_dash|full_moon|long_breath|full_moon|fast_haul|the_dash|fast_haul|deep_dive|deep_dive|full_moon|deep_dive,4,0,1,7.94,21.03,4.90,0,595,0,2.56,3.00,47.64,-4,1.78,0,3,2,6,0,35,6,0,0,1,0,0,50,20,0,50,96,32,56,46,0,0
