profile,seed,cycle,deaths,ebb_start_level,at_risk_at_ebb,submerged_samples,submerged_pct,avg_satiety,avg_warmth,avg_mood
turtle,127704,12,0,0.000,0,0,0.0,70.3,98.8,23.6
turtle,127704,13,0,3.000,0,0,0.0,0.0,0.0,0.0
turtle,135623,1,0,-0.000,0,0,0.0,91.0,99.5,70.0
turtle,135623,2,0,0.000,0,0,0.0,73.0,94.0,69.2
turtle,135623,3,0,0.000,0,0,0.0,78.9,91.9,72.9
turtle,135623,4,0,0.000,0,0,0.0,82.8,98.1,72.1
turtle,135623,5,0,0.000,0,0,0.0,68.4,99.4,72.1
turtle,135623,6,0,0.000,0,0,0.0,76.4,99.3,64.7
turtle,135623,7,0,4.000,0,2,0.1,64.9,95.7,47.9
turtle,135623,8,0,0.000,0,0,0.0,71.8,97.8,43.3
turtle,135623,9,0,0.000,0,0,0.0,68.4,99.1,40.9
turtle,135623,10,0,0.000,0,0,0.0,69.2,99.6,33.4
turtle,135623,11,0,0.000,0,0,0.0,70.0,99.6,26.9
turtle,135623,12,0,0.000,0,0,0.0,67.6,99.3,20.6
turtle,135623,13,0,3.000,0,0,0.0,0.0,0.0,0.0
turtle,143542,1,0,-0.000,0,0,0.0,89.2,99.9,70.0
turtle,143542,2,0,0.000,0,0,0.0,69.4,95.2,68.7
turtle,143542,3,0,0.000,0,0,0.0,82.3,93.6,66.0
turtle,143542,4,0,0.000,0,0,0.0,78.7,99.4,64.3
turtle,143542,5,0,0.000,0,0,0.0,60.7,98.5,63.0
turtle,143542,6,0,0.000,0,0,0.0,76.7,98.4,54.8
turtle,143542,7,0,3.000,0,2,0.1,71.5,95.5,34.3
turtle,143542,8,0,0.000,0,0,0.0,67.5,99.4,30.6
turtle,143542,9,0,0.000,0,0,0.0,70.9,99.9,25.3
turtle,143542,10,0,0.000,0,0,0.0,65.8,99.9,18.7
turtle,143542,11,0,0.000,0,0,0.0,72.4,99.8,11.9
turtle,143542,12,0,0.000,0,0,0.0,63.5,99.3,8.9
turtle,143542,13,0,3.000,0,0,0.0,0.0,0.0,0.0
turtle,151461,1,0,-0.000,0,0,0.0,91.0,99.8,70.0
turtle,151461,2,0,0.000,0,0,0.0,73.0,94.3,68.8
turtle,151461,3,0,0.000,0,0,0.0,77.0,82.9,68.3
turtle,151461,4,0,0.000,0,0,0.0,82.3,79.2,69.2
turtle,151461,5,0,0.000,0,0,0.0,68.1,87.8,74.3
turtle,151461,6,0,0.000,0,0,0.0,78.6,91.4,69.0
turtle,151461,7,0,3.000,0,1,0.1,65.1,88.2,55.1
turtle,151461,8,0,0.000,0,0,0.0,68.8,91.9,53.9
turtle,151461,9,0,0.000,0,0,0.0,69.6,93.3,54.4
turtle,151461,10,0,0.000,0,0,0.0,69.3,94.9,49.1
turtle,151461,11,0,0.000,0,0,0.0,70.5,96.4,44.1
turtle,151461,12,0,0.000,0,0,0.0,67.0,97.7,43.0
turtle,151461,13,0,2.000,0,0,0.0,60.3,98.3,42.7
greedy,1000,1,1,-0.000,0,10,0.5,89.4,98.2,66.7
greedy,1000,2,4,0.000,0,23,1.8,70.7,93.4,41.5
greedy,1000,3,0,0.000,0,0,0.0,60.4,86.8,0.0
greedy,8919,1,1,-0.000,0,5,0.3,92.4,98.2,64.9
greedy,8919,2,3,0.000,0,25,1.5,74.4,92.1,41.7
greedy,8919,3,0,0.000,0,0,0.0,0.0,0.0,0.0
greedy,16838,1,0,-0.000,0,0,0.0,91.0,98.4,70.0
greedy,16838,2,2,0.000,0,24,1.2,76.2,92.8,66.1
greedy,16838,3,0,0.000,0,0,0.0,58.6,79.8,23.2
greedy,16838,4,0,0.000,0,0,0.0,40.6,69.8,23.8
greedy,16838,5,1,0.000,0,5,0.3,23.1,60.1,21.6
greedy,16838,6,0,0.000,0,0,0.0,7.4,50.9,1.7
greedy,16838,7,0,3.000,0,0,0.0,1.2,42.1,1.0
greedy,16838,8,0,0.000,0,0,0.0,0.0,33.4,1.5
greedy,16838,9,0,0.000,0,0,0.0,0.0,24.0,2.0
greedy,16838,10,0,0.000,0,0,0.0,0.0,14.7,0.8
greedy,16838,11,0,0.000,0,0,0.0,0.0,4.8,5.0
greedy,16838,12,0,0.000,0,0,0.0,0.0,0.0,0.4
greedy,16838,13,0,3.000,0,0,0.0,0.0,0.0,0.0
greedy,24757,1,2,-0.000,0,10,0.8,92.4,98.3,61.1
greedy,24757,2,0,0.000,0,0,0.0,70.6,91.7,20.0
greedy,24757,3,0,0.000,0,0,0.0,49.6,80.7,20.0
greedy,24757,4,0,0.000,0,0,0.0,30.7,70.8,20.0
greedy,24757,5,0,0.000,0,0,0.0,12.1,59.8,20.0
greedy,24757,6,0,0.000,0,0,0.0,3.2,49.9,17.5
greedy,24757,7,0,4.000,0,0,0.0,0.0,40.6,8.8
greedy,24757,8,0,0.000,0,0,0.0,0.0,31.0,7.5
greedy,24757,9,0,0.000,0,0,0.0,0.0,21.6,7.5
greedy,24757,10,0,0.000,0,0,0.0,0.0,15.0,3.8
greedy,24757,11,0,0.000,0,0,0.0,0.0,8.6,5.0
greedy,24757,12,0,0.000,0,0,0.0,0.0,1.8,0.0
greedy,24757,13,0,3.000,0,0,0.0,0.0,0.0,0.0
greedy,32676,1,1,-0.000,0,5,0.3,92.4,98.7,64.9
greedy,32676,2,3,0.000,0,24,2.1,77.3,94.8,41.7
greedy,32676,3,0,0.000,0,0,0.0,68.5,87.3,0.0
greedy,40595,1,1,-0.000,0,10,0.6,90.7,98.6,65.9
greedy,40595,2,1,0.000,0,20,1.4,71.5,94.8,40.8
greedy,40595,3,0,0.000,0,0,0.0,51.3,81.9,20.0
greedy,40595,4,0,0.000,0,0,0.0,31.8,71.9,20.0
greedy,40595,5,0,0.000,0,0,0.0,15.2,62.5,20.0
greedy,40595,6,0,0.000,0,0,0.0,3.1,53.1,18.0
greedy,40595,7,0,4.000,0,0,0.0,0.0,44.1,10.0
greedy,40595,8,0,0.000,0,0,0.0,0.0,35.1,10.0
greedy,40595,9,0,0.000,0,0,0.0,0.0,26.1,8.8
greedy,40595,10,0,0.000,0,0,0.0,0.0,17.8,3.8
greedy,40595,11,0,0.000,0,0,0.0,0.0,7.6,5.0
greedy,40595,12,0,0.000,0,0,0.0,0.0,0.1,0.0
greedy,40595,13,0,4.000,0,0,0.0,0.0,0.0,0.0
greedy,48514,1,1,-0.000,0,9,0.5,90.7,98.2,66.0
greedy,48514,2,4,0.000,0,24,2.2,73.9,94.8,41.5
greedy,48514,3,0,0.000,0,0,0.0,0.0,0.0,0.0
greedy,56433,1,1,-0.000,0,5,0.3,89.9,98.3,65.7
greedy,56433,2,4,0.000,0,24,2.2,71.8,94.7,43.4
greedy,56433,3,0,0.000,0,0,0.0,0.0,0.0,0.0
greedy,64352,1,1,-0.000,0,5,0.3,92.4,98.8,64.9
greedy,64352,2,4,0.000,0,24,1.5,74.8,94.6,46.2
greedy,64352,3,0,0.000,0,0,0.0,0.0,0.0,0.0
greedy,72271,1,1,-0.000,0,10,0.6,90.7,98.3,65.9
greedy,72271,2,4,0.000,0,23,1.8,72.7,94.4,41.7
greedy,72271,3,0,0.000,0,0,0.0,64.0,87.0,0.0
greedy,80190,1,1,-0.000,0,5,0.3,91.9,98.7,64.9
greedy,80190,2,1,0.000,0,23,1.6,74.3,94.1,41.0
greedy,80190,3,0,0.000,0,0,0.0,57.2,81.5,18.8
greedy,80190,4,0,0.000,0,0,0.0,40.4,72.1,17.5
greedy,80190,5,0,0.000,0,0,0.0,24.6,63.4,17.5
greedy,80190,6,0,0.000,0,0,0.0,7.8,54.0,17.5
greedy,80190,7,0,2.000,0,0,0.0,0.0,44.0,16.2
greedy,80190,8,0,0.000,0,0,0.0,0.0,33.0,15.0
greedy,80190,9,0,0.000,0,0,0.0,0.0,22.6,11.2
greedy,80190,10,0,0.000,0,0,0.0,0.0,14.4,7.5
greedy,80190,11,0,0.000,0,0,0.0,0.0,4.7,8.8
greedy,80190,12,0,0.000,0,0,0.0,0.0,0.0,2.9
greedy,80190,13,0,4.000,0,0,0.0,0.0,0.0,0.0
greedy,88109,1,1,-0.000,0,5,0.3,91.6,98.7,65.0
greedy,88109,2,0,0.000,0,0,0.0,73.6,94.5,45.0
greedy,88109,3,0,0.000,0,14,0.9,54.4,85.0,45.0
greedy,88109,4,0,0.000,0,0,0.0,35.2,73.8,45.0
greedy,88109,5,5,0.000,0,29,2.8,19.6,66.1,44.7
greedy,96028,1,1,-0.000,0,5,0.2,89.5,98.3,66.4
greedy,96028,2,4,0.000,0,23,1.8,70.7,93.1,43.1
greedy,96028,3,0,0.000,0,0,0.0,60.4,87.0,0.0
greedy,103947,1,1,-0.000,0,9,0.5,91.2,98.6,66.0
greedy,103947,2,1,0.000,0,16,1.1,73.3,94.8,41.0
greedy,103947,3,0,0.000,0,0,0.0,56.1,85.5,20.0
greedy,103947,4,0,0.000,0,0,0.0,40.4,78.5,20.0
greedy,103947,5,0,0.000,0,0,0.0,23.5,71.0,20.0
greedy,103947,6,0,0.000,0,0,0.0,6.7,63.5,20.0
greedy,103947,7,0,2.000,0,0,0.0,0.0,56.0,20.0
greedy,103947,8,0,0.000,0,0,0.0,0.0,48.0,20.0
greedy,103947,9,0,0.000,0,0,0.0,0.0,39.2,20.0
greedy,103947,10,0,0.000,0,0,0.0,0.0,31.0,17.5
greedy,103947,11,0,0.000,0,0,0.0,0.0,23.6,20.0
greedy,103947,12,0,0.000,0,0,0.0,0.0,17.8,15.5
greedy,103947,13,0,4.000,0,0,0.0,0.0,0.0,0.0
greedy,111866,1,0,-0.000,0,0,0.0,91.7,98.3,70.0
greedy,111866,2,5,0.000,0,27,2.1,76.6,93.7,66.3
greedy,111866,3,0,0.000,0,0,0.0,68.5,88.1,0.0
greedy,119785,1,1,-0.000,0,4,0.2,90.7,98.3,65.7
greedy,119785,2,4,0.000,0,24,2.2,73.9,94.7,42.3
greedy,119785,3,0,0.000,0,0,0.0,0.0,0.0,0.0
greedy,127704,1,0,-0.000,0,0,0.0,91.0,98.2,70.0
greedy,127704,2,5,0.000,0,31,2.0,74.4,94.2,66.9
greedy,127704,3,0,0.000,0,0,0.0,64.0,87.0,0.0
greedy,135623,1,1,-0.000,0,5,0.3,92.4,98.5,64.9
greedy,135623,2,3,0.000,0,23,2.0,77.3,94.8,40.2
greedy,135623,3,0,0.000,0,0,0.0,68.5,86.1,0.0
greedy,143542,1,1,-0.000,0,4,0.2,89.5,98.3,66.3
greedy,143542,2,2,0.000,0,27,2.3,71.1,94.8,36.9
greedy,143542,3,0,0.000,0,0,0.0,55.4,82.4,0.0
greedy,143542,4,0,0.000,0,0,0.0,40.4,74.1,0.0
greedy,143542,5,0,0.000,0,0,0.0,21.7,63.7,0.0
greedy,143542,6,0,0.000,0,0,0.0,3.3,52.7,0.0
greedy,143542,7,0,4.000,0,0,0.0,0.0,43.3,0.0
greedy,143542,8,0,0.000,0,0,0.0,0.0,33.9,0.0
greedy,143542,9,0,0.000,0,0,0.0,0.0,24.6,0.0
greedy,143542,10,0,0.000,0,0,0.0,0.0,15.9,0.0
greedy,143542,11,0,0.000,0,0,0.0,0.0,6.8,5.0
greedy,143542,12,0,0.000,0,0,0.0,0.0,0.5,0.0
greedy,143542,13,0,3.000,0,0,0.0,0.0,0.0,0.0
greedy,151461,1,1,-0.000,0,5,0.3,91.3,98.3,65.6
greedy,151461,2,4,0.000,0,24,2.2,75.5,95.2,45.3
greedy,151461,3,0,0.000,0,0,0.0,0.0,0.0,0.0
builder,1000,1,0,-0.000,0,0,0.0,91.0,99.7,70.0
builder,1000,2,0,0.000,0,0,0.0,74.1,95.6,71.0
builder,1000,3,0,0.000,0,0,0.0,73.5,93.7,70.7
builder,1000,4,0,0.000,0,0,0.0,84.6,99.0,72.3
builder,1000,5,0,0.000,0,0,0.0,66.6,97.5,74.0
builder,1000,6,0,0.000,0,0,0.0,78.4,99.7,77.1
builder,1000,7,0,2.000,0,0,0.0,67.2,96.6,78.3
builder,1000,8,0,0.000,0,0,0.0,69.4,97.8,79.7
builder,1000,9,0,0.000,0,0,0.0,53.6,97.7,81.0
builder,1000,10,0,0.000,0,0,0.0,43.9,99.3,83.9
builder,1000,11,0,0.000,0,0,0.0,28.1,98.3,90.4
builder,1000,12,0,0.000,0,6,0.2,12.8,97.8,89.5
builder,1000,13,0,3.000,0,0,0.0,0.0,0.0,0.0
builder,8919,1,0,-0.000,0,0,0.0,92.1,99.6,70.0
builder,8919,2,0,0.000,0,0,0.0,75.3,94.6,69.8
builder,8919,3,0,0.000,0,0,0.0,73.4,91.6,69.0
